,code,date,p_change
797,603005,2017-09-20,10.0
798,600382,2017-07-31,9.99
799,601313,2017-11-30,10.01
800,601313,2017-11-29,10.0
801,601313,2017-11-28,9.99
802,601313,2017-11-27,10.0
803,601313,2017-11-24,10.01
804,601313,2017-11-23,10.0
805,601313,2017-11-22,10.0
806,601313,2017-11-21,10.0
807,601313,2017-11-20,9.98
808,601313,2017-11-17,10.03
809,601313,2017-11-16,9.98
810,601313,2017-11-15,10.01
811,601313,2017-11-14,10.03
812,601313,2017-11-13,10.02
813,601313,2017-11-10,10.0
814,601313,2017-11-09,9.96
815,601313,2017-11-08,10.03
816,601313,2017-11-07,10.01
817,002276,2017-08-01,9.97
818,600746,2017-08-31,9.98
819,002016,2017-10-31,9.99
820,600367,2017-09-13,10.01
821,600367,2017-09-08,9.98
822,002106,2017-11-08,10.01
823,601958,2017-08-03,10.04
824,600129,2017-11-06,10.02
825,002866,2017-11-24,10.0
826,600791,2017-07-24,10.0
827,600569,2017-11-29,9.98
828,600569,2017-09-27,10.1
829,600569,2017-09-01,9.92
830,600569,2017-08-09,10.07
831,600569,2017-08-07,9.95
832,600569,2017-08-04,10.14
833,600569,2017-08-03,9.94
834,600559,2017-11-15,10.0
835,600559,2017-11-14,10.0
836,600559,2017-11-13,10.0
837,600559,2017-11-10,10.01
838,600559,2017-11-09,10.0
839,600559,2017-11-08,9.98
840,600776,2017-11-15,10.0
841,600776,2017-10-09,9.97
842,000962,2017-09-26,10.0
843,000962,2017-09-20,10.02
844,000791,2017-10-13,10.01
845,000791,2017-10-12,10.04
846,000791,2017-10-11,9.98
847,002135,2017-09-07,10.02
848,002135,2017-08-14,10.04
849,000531,2017-10-30,10.0
850,603225,2017-07-19,10.01
851,002542,2017-08-17,10.03
852,603098,2017-08-02,10.02
853,000572,2017-10-10,9.98
854,000572,2017-10-09,10.06
855,002124,2017-08-08,10.01
856,002747,2017-09-11,10.02
857,002747,2017-09-04,10.0
858,002747,2017-07-21,9.99
859,000980,2017-08-09,10.02
860,600123,2017-07-19,10.05
861,601908,2017-11-10,9.93
862,000680,2017-08-09,10.06
863,000603,2017-07-19,10.04
864,601375,2017-08-28,9.98
865,603859,2017-08-08,9.99
866,600010,2017-07-31,10.2
867,002662,2017-10-11,10.04
868,002662,2017-10-10,10.01
869,002662,2017-10-09,10.0
870,002662,2017-09-29,10.03
871,000710,2017-11-16,10.01
872,000710,2017-11-08,10.01
873,000710,2017-09-14,10.0
874,000710,2017-09-12,9.99
875,603903,2017-10-13,9.99
876,603903,2017-08-03,10.0
877,603227,2017-10-13,9.97
878,002149,2017-09-20,10.02
879,603339,2017-10-19,9.99
880,000957,2017-09-18,10.02
881,002868,2017-08-22,10.01
882,002227,2017-08-21,10.02
883,603398,2017-08-09,9.99
884,600759,2017-11-07,9.98
885,002748,2017-08-16,10.02
886,002137,2017-08-01,10.04
887,603066,2017-10-11,9.99
888,603066,2017-09-04,9.97
889,603380,2017-07-04,9.98
890,601015,2017-09-12,10.04
891,601015,2017-09-01,9.97
892,601015,2017-08-25,9.95
